id,s_serialno,s_interog8,s_devicetype,s_location
200800770,B096325/001,NULL,PC,Gympie Road Wholesale Cars
200800774,B096325/005,NULL,PC,Gympie Road Wholesale Cars
20110529,B101434/016,NULL,PC,Infiniti Centre Brisbane
20120217,ABCS27931,NULL,PC,Infiniti Centre Brisbane
20120403,XSZ2608009,NULL,Printer,Infiniti Centre Brisbane
20120040,B102243/004,NULL,Zbox,IT Berrimah
20110464,7B122292H,NULL,Notebook,IT North Lakes
200800756,1A063676H,2013-05-07,Notebook,IT Pinkenba
20120034,B102161/001,NULL,Zbox,IT Pinkenba
20110365,6B109894H,2013-02-20,Notebook,IT Pinkenba
20120346,B103585/002,NULL,Zbox,IT Pinkenba
200800893,2A134153H,NULL,Notebook,IT Pinkenba
20120133,7B156853H,2013-05-29,Notebook,IT Pinkenba
200800816,1A109034H,NULL,Notebook,IT Pinkenba
20100084,6A067321H,2013-05-07,Notebook,IT Pinkenba
200700807,9Q11BC00062,NULL,Thin Client,IT Woolloongabba
20120477,B103871/003,2013-06-21,PC,Lexus Darwin
20130206,ABCS34003,NULL,PC,Metro Ford Eagle Farm
20100023,XSZ0502703,NULL,Printer,Metro Ford Eagle Farm
200800379,B092035/018,NULL,PC,Metro Ford Eagle Farm
20100199,B098232/012,NULL,PC,Metro Ford Fortitude Valley
20100044,B097386/007,NULL,PC,Metro Ford Fortitude Valley
20110538,7B122327H,NULL,Notebook,Metro Ford Fortitude Valley
200800758,1A063678H,2013-06-14,Notebook,Metro Ford Fortitude Valley
20100310,8A062844H,NULL,Notebook,Metro Ford Fortitude Valley
200800773,B096325/004,NULL,PC,Metro Ford Fortitude Valley
200800677,J9KF021664,NULL,Printer,Metro Ford Fortitude Valley
200800854,B096489/003,NULL,PC,Metro Ford Fortitude Valley
20100188,B098232/001,NULL,PC,Metro Ford Fortitude Valley
200800956,B096848/006,NULL,PC,Metro Ford Fortitude Valley
20120398,XSZ2607708,NULL,Printer,Metro Ford Fortitude Valley
20100198,B098232/011,NULL,PC,Metro Ford Fortitude Valley
20110003,Q670701115,NULL,Printer,Metro Ford Fortitude Valley
20100001,B097291/001,NULL,PC,Metro Ford Fortitude Valley
20100105,B097621/011,NULL,PC,Metro Ford Fortitude Valley
20100008,B097291/011,NULL,PC,Metro Ford Fortitude Valley
20100197,B098232/010,NULL,PC,Metro Ford Fortitude Valley
200700810,CNV7070076,NULL,Thin Client,Metro Ford Fortitude Valley
200800805,B096091/001,NULL,PC,Metro Ford Fortitude Valley
200800710,CNV9470NHC,NULL,Thin Client,Metro Ford Fortitude Valley
200800687,B095700/004,NULL,PC,Metro Maroochydore
200701006,9Q18D800371,NULL,Thin Client,Metro Parts Eagle Farm
200800243,0802-B088809/003,NULL,PC,Metro Parts Eagle Farm
20100088,5A112260H,NULL,Notebook,Metro Parts Eagle Farm
20130036,XSZ2607698,NULL,Printer,Metro Parts Eagle Farm
200800804,B096290/002,NULL,PC,Metro Parts Eagle Farm
20110181,B099620/002,NULL,PC,Metro Parts Eagle Farm
20100263,CNW04209MJ,NULL,Thin Client,Metro Parts Eagle Farm
20100166,B098034/006,NULL,PC,Metro Parts Eagle Farm
20130185,08J121401201,NULL,Printer,Metro Parts Eagle Farm
20100092,6A068032H,NULL,Notebook,Metro Parts Eagle Farm
20120093,B102313/003,NULL,PC,Metro Parts Eagle Farm
200800498,CNV93304GY,NULL,Thin Client,Metro Parts Eagle Farm
200800704,B095758/005,NULL,PC,Metro Parts Eagle Farm
20100265,CNW04209BX,NULL,Thin Client,Metro Toowoomba Toowoomba
200800843,B096287/009,NULL,PC,Metro Toowoomba Toowoomba
200800375,B092035/014,NULL,PC,PAG Fortitude Valley
200800381,B092035/020,NULL,PC,PAG Fortitude Valley
200800372,B092035/011,NULL,PC,PAG Fortitude Valley
200800679,B095663/001,NULL,PC,PAG Fortitude Valley
20110040,B098957/010,NULL,PC,PAG Fortitude Valley
20110088,B099338/001,2013-05-20,PC,PAG Fortitude Valley
20120390,XSZ2607700,NULL,Printer,PAG Fortitude Valley
20100208,8A063036H,NULL,Notebook,Porsche Centre Brisbane Newstead
200800809,B096091/005,NULL,PC,Porsche Centre Brisbane Newstead
600550001,okip.l55.i1,NULL,Printer,Porsche Centre Brisbane Newstead
600550005,kyoc.l55.i1,NULL,Printer,Porsche Centre Brisbane Newstead
20100005,B097291/008,NULL,PC,Porsche Centre Brisbane Newstead
20110079,7A065000H,NULL,Notebook,Porsche Centre Brisbane Newstead
20100106,XSZ0502750,NULL,Printer,Porsche Centre Brisbane Newstead
200800185,0806-B090055/004,NULL,PC,Porsche Centre Brisbane Newstead
20120450, B103766/001,NULL,Zbox,Porsche Centre Brisbane Newstead
20120452,B103766/003,NULL,Zbox,Porsche Centre Brisbane Newstead
20100059,B097468/005,NULL,PC,Porsche Centre Brisbane Newstead
200800825,CNVA130167,NULL,Thin Client,Porsche Centre Brisbane Newstead
200800376,B092035/015,NULL,PC,Porsche Centre Brisbane Newstead
600550003,okip.l55.i3,NULL,Printer,Porsche Centre Brisbane Newstead
200800438,XSD9405076,NULL,Printer,Porsche Centre Brisbane Newstead
20120114,B102508/004,NULL,Zbox,Porsche Centre Brisbane Newstead
200800188,0806-B090068/002,NULL,PC,Porsche Centre Brisbane Newstead
200701226,6158E505609,NULL,Thin Client,Predelivery Pinkenba
20100142,B097858/004,NULL,PC,Predelivery Pinkenba
200701227,9Q11BC00364,NULL,Thin Client,Predelivery Pinkenba
200800891,JATF002781,NULL,Printer,Southside Ford Woolloongabba
200700564,0705-B085625/001,NULL,PC,Southside Ford Woolloongabba
200700571,9Q11C900136,NULL,Thin Client,Southside Ford Woolloongabba
200700578,0711-B087721/003,NULL,PC,Southside Ford Woolloongabba
200800133,0803-B089343/003,NULL,PC,Southside Ford Woolloongabba
20100194,B098232/007,NULL,PC,Southside Ford Woolloongabba
20100196,B098232/009,NULL,PC,Southside Ford Woolloongabba
200700567,0705-B085484/001,NULL,PC,Southside Ford Woolloongabba
200700574,0602-B079321/001,NULL,PC,Southside Ford Woolloongabba
20100193,B098232/006,NULL,PC,Southside Ford Woolloongabba
20100195,B098232/008,NULL,PC,Southside Ford Woolloongabba
200800983,B097160/009,NULL,PC,Southside Honda Buranda
20100262,CNW04209HF,NULL,Thin Client,Southside Honda Buranda
200700473,CNV7070070,NULL,Thin Client,Southside Honda Buranda
200800377,B092035/016,NULL,PC,Southside Honda Buranda
20120120,B102508/010,NULL,Zbox,Southside Honda Buranda
200700465,CNV7070074,NULL,Thin Client,Southside Honda Buranda
200800650,B095104/005,NULL,PC,Southside Honda Buranda
20100061,B097468/007,NULL,PC,Southside Honda Buranda
200700480,9Q11C900132,NULL,Thin Client,Southside Honda Buranda
20130203,B104893003,NULL,Zbox,Southside Honda Buranda
200800388,XSD8904547,NULL,Printer,Southside Honda Buranda
20120425,CNW23617ZX,NULL,Thin Client,Southside Toyota Mt Gravatt
200800814,B096091/010,NULL,PC,Southside Toyota Mt Gravatt
200700439,PZE7900298,NULL,Printer,Southside Toyota Mt Gravatt
200800396,B092979/002,NULL,PC,Southside Toyota Mt Gravatt
20110024,7A063130H,2013-06-15,Notebook,Southside Toyota Mt Gravatt
20110431,B101026/001,2013-03-27,PC,Southside Toyota Mt Gravatt
20110541,08J112701157,NULL,Printer,Southside Toyota Mt Gravatt
20120424,CNW23617ZM,NULL,Thin Client,Southside Toyota Mt Gravatt
20100055,B097468/001,NULL,PC,Southside Toyota Mt Gravatt
200800844,B096287/010,NULL,PC,Southside Toyota Mt Gravatt
200800609,B094507/004,NULL,PC,Southside Toyota Woolloongabba
20120421,CNW23617ZG,NULL,Thin Client,Southside Toyota Woolloongabba
20110542,08J112701149,NULL,Printer,Southside Toyota Woolloongabba
200800899,B096884/002,NULL,PC,Southside Toyota Woolloongabba
20100147,B097858/009,NULL,PC,Southside Toyota Woolloongabba
20100164,B098034/004,NULL,PC,Southside Toyota Woolloongabba
200700601,0703-B084816/002,NULL,PC,Southside Toyota Woolloongabba
200700615,0707-B086450/001,NULL,PC,Southside Toyota Woolloongabba
200800860,B096489/009,NULL,PC,Southside Toyota Woolloongabba
200800143,L3-H5212 08/02,NULL,Notebook,Southside Toyota Woolloongabba
200800954,B096848/004,NULL,PC,Southside Toyota Woolloongabba
200800163,0803-B089228/004,NULL,PC,Southside Toyota Woolloongabba
20110509,XSZ1705562,NULL,Printer,Southside Toyota Woolloongabba
200800882,QRE0300775,NULL,Printer,Southside Toyota Woolloongabba
20120406,XSZ2608005,NULL,Printer,Southside Toyota Woolloongabba
20110319,5B090642H,2013-04-11,Notebook,Southside Toyota Woolloongabba
20100146,B097858/008,NULL,PC,Southside Toyota Woolloongabba
20100063,B097468/009,NULL,PC,Southside Toyota Woolloongabba
200800667,B095289/008,NULL,PC,Southside Toyota Woolloongabba
200700613,0707-B086450/003,NULL,PC,Southside Toyota Woolloongabba
200800147,0803-B089340/003,NULL,PC,Southside Toyota Woolloongabba
200800164,0805-B089998/001,NULL,PC,Southside Toyota Woolloongabba
200701079,0608-B081817/002,NULL,PC,SSV/SSR Buranda
200800610,B094507/005,NULL,PC,SSV/SSR Buranda
200800276,0801-B088351/003,NULL,PC,Subaru City Newstead
200800824,CNVA13016L,NULL,Thin Client,Subaru City Newstead
200800353,B091915/001,NULL,PC,Subaru City Newstead
200800837,B096287/003,NULL,PC,Subaru City Newstead
200800703,B095758/004,NULL,PC,Subaru City Newstead
200700208,9Q11c900135,NULL,Thin Client,Subaru City Newstead
200800247,0801-B088350/011,NULL,PC,Subaru City Newstead
200800757,1A062809H,NULL,Notebook,Subaru City Newstead
200800356,XSD8X04635,NULL,Printer,Subaru City Newstead
20110437,B101026/007,NULL,PC,Subaru City Newstead
200800231,0802-B088905/003,NULL,PC,Subaru Toowong
200800952,B096848/002,NULL,PC,Subaru Toowong
200800230,0802-B088973/004,NULL,PC,Subaru Toowong
200800234,0801-B088351/004,NULL,PC,Subaru Toowong
200800730,B095941/010,NULL,PC,Torque Ford Admin
20110372,Q671503822,NULL,Printer,Torque Ford Admin
20120117,B102508/007,NULL,Zbox,Torque Ford North Lakes
200700057,CNV7070060,NULL,Thin Client,Torque Ford North Lakes
20110195,6A063054H,NULL,Notebook,Torque Ford North Lakes
200800728,B095941/008,NULL,PC,Torque Ford North Lakes
20100096,B097621/002,NULL,PC,Torque Ford North Lakes
20100192,B098232/005,NULL,PC,Torque Ford North Lakes
200800692,B095700/009,NULL,PC,Torque Ford North Lakes
200800483,29025787H,NULL,Notebook,Torque Ford North Lakes
200700056,CNV707004Y,NULL,Thin Client,Torque Ford North Lakes
20110570,B101786/001,2013-05-27,PC,Torque Ford North Lakes
200800309,0807-B090445/001,NULL,PC,Torque Ford North Lakes
20120621,NR52X01304,NULL,Printer,Torque Ford North Lakes
20100189,B098232/002,NULL,PC,Torque Ford North Lakes
20120099,B102313/009,NULL,PC,Torque Ford North Lakes
20120382,XSZ2607884,NULL,Printer,Torque Ford North Lakes
200700115,0705-B085625/003,NULL,PC,Torque Ford Strathpine
20130253,B104905/003,NULL,Zbox,Torque Ford Strathpine
20100098,B097621/004,NULL,PC,Torque Ford Strathpine
20100100,B097621/006,NULL,PC,Torque Ford Strathpine
200800871,B096661/002,NULL,PC,Torque Ford Strathpine
20110104,JATF005468,NULL,Printer,Torque Ford Strathpine
20100043,B097386/006,NULL,PC,Torque Ford Strathpine
200700112,XAH6800373,NULL,Printer,Torque Ford Strathpine
200800729,B095941/009,NULL,PC,Torque Ford Strathpine
200800648,B095104/003,NULL,PC,Torque Ford Strathpine
200701158,L3-BC082 07/01,NULL,Notebook,Torque Ford Strathpine
20110386,B100809/001,NULL,PC,Torque Ford Strathpine
200800686,B095700/003,NULL,PC,Torque Ford Strathpine
200800857,B096489/006,NULL,PC,Torque Ford Strathpine
200800861,B096489/010,NULL,PC,Torque Ford Strathpine
20100191,B098232/004,NULL,PC,Torque Ford Strathpine
200800955,B096848/005,NULL,PC,Torque Ford Strathpine
200800880,B096661/011,NULL,PC,Torque Ford Strathpine
20110302,QRE1303096,NULL,Printer,Torque Honda North Lakes
200800999,4A133051H,2013-06-27,Notebook,Torque Honda North Lakes
20100145,B097858/007,NULL,PC,Torque Honda North Lakes
200700001,CNV7070083,NULL,Thin Client,Torque Honda North Lakes
20100221,B098370/001,2013-06-04,PC,Torque Honda North Lakes
20110349,QVR1300378,NULL,Printer,Torque Honda North Lakes
20100097,B097621/003,NULL,PC,Torque Honda North Lakes
20120352,B103585/008,NULL,Zbox,Torque Honda North Lakes
200700002,CNV707008P,NULL,Thin Client,Torque Honda North Lakes
20120024,7B095292H,NULL,Notebook,Torque Subaru Brendale
20120223,QVR2200939,NULL,Printer,Torque Toyota Admin
20110047,XSZ0Z04173,NULL,Printer,Torque Toyota Admin
20120119,B102508/009,NULL,Zbox,Torque Toyota Brendale
20100056,B097468/002,NULL,PC,Torque Toyota Brendale
20100141,B097858/003,NULL,PC,Torque Toyota Brendale
20110347,QVR1300382,NULL,Printer,Torque Toyota Brendale
20120271,B103299/001,NULL,Zbox,Torque Toyota Brendale
20120275,B103299/005,NULL,Zbox,Torque Toyota Brendale
200800852,B096489/001,NULL,PC,Torque Toyota Brendale
20100190,B098232/003,NULL,PC,Torque Toyota Brendale
200800690,B095700/007,NULL,PC,Torque Toyota Brendale
200800959,B096848/009,NULL,PC,Torque Toyota Brendale
