Printer Report [Thu Nov  1 13:17:13 EST 2012]
(~/src/pmon/pmon.sh)
c/- Michael Spence

Asset No, Assumed Model, IP Address, Reported Pages, Reported Model, Serial No.
200702044, FS3900, 10.23.1.158,  77314,  FS-3900DN,  "XSG7704847"
200702049, FS3900, 10.23.1.159,  173837,  FS-3900DN,  "XLN7977712"
200702050, FS3900, 10.23.1.160,  119517,  FS-3900DN,  "XSG7Y05834"
200702051, FS3900, 10.23.1.161,  63327,  FS-3900DN,  "XSG7905518"
200702052, FS3900, 10.23.1.162,  44590,  FS-3900DN,  "XSG7905513"
200702053, Generic#Printer, 10.23.1.170,  182993,  TASKalfa 400ci,  "QHZ0100263"
200702054, TaskAlfa#221, 10.23.1.171,  60291,  TASKalfa 221,  "QPB9900144"
200702054, TaskAlfa#221, 10.23.1.172, , , 
200702055, TaskAlfa#221, 10.23.1.173,  43394,  TASKalfa 221,  "QPB9900151"
200702055, TaskAlfa#221, 10.23.1.174, , , 
200800042, FS4000, 10.50.1.117,  119207,  FS-4000DN,  "XSH7Z00906"
200800044, FS4000, 10.52.1.107,  70831,  FS-4000DN,  "XSH7Z00930"
200800045, FS4000, 10.51.1.103,  150889,  FS-4000DN,  "XSH7Z00892"
200800104, FS4000, 10.5.4.160,  137996,  FS-4000DN,  "XSH8101001"
200800114, FS4000, 10.5.4.159,  159262,  FS-4000DN,  "XSH8101008"
200800118, FS4000, 10.5.4.158,  182277,  FS-4000DN,  "XSH7900689"
200800204, FS4000, 10.10.2.158,  198376,  FS-4000DN,  "XSH7Z00940"
200800277, FS4000, 10.10.16.152,  52528,  FS-4000DN,  "XSH6Y00622"
200800298, FS4000, 10.12.3.176,  48709,  FS-4000DN,  "XSH7Y00825"
200800330, FS-4000DN, 10.10.3.178,  12304,  FS-4000DN,  "XSH8701077"
200800356, FS-1118MFPF, 10.10.16.154,  33392,  FS-1118MFP,  "XSD8X04635"
200800382, FS-2000DN, 10.52.1.108,  19635,  FS-2000D,  "XSF8Y12682"
200800392, FS-3900DN, 10.17.11.154,  204540,  FS-3900DN,  "XSG8906980"
200800438, FS-1118MFPF, 10.17.11.157,  27714,  FS-1118MFP,  "XSD9405076"
200800527, FS4000DN, 10.10.2.151,  151431,  FS-4000DN,  "XSH8601025"
200800556, FS4000, 10.10.2.150,  183992,  FS-4000DN,  "XSH8601011"
200800604, FS-1128MFP, 10.10.9.171,  114523,  FS-1128MFP,  "QRE9700057"
200800605, FS-1128MFP, 10.10.9.170,  28702,  FS-1128MFP,  "QRE9700053"
200800632, FS-C5400DN, 10.36.4.166,  148732,  FS-C5400DN,  "XMW9600050"
200800634, FS-1128MFP, 10.10.7.159,  12530,  FS-1128MFP,  "QRE9700041"
200800645, FS-1118MFP, 10.7.6.160,  14044,  FS-1118MFP,  "XSD9405078"
200800655, FS-3920DN, 10.35.18.153,  38294,  FS-3920DN,  "XSZ9901333"
200800678, FS-1128MFP, 10.10.5.156,  96090,  FS-1128MFP,  "QRE9Y00467"
200800680, FS-3920DN, 10.10.16.150,  54807,  FS-3920DN,  "XSZ9901417"
200800714, FS-3920DN, 10.35.18.154,  28713,  FS-3920DN,  "XSZ9901408"
200800715, FS-1128MFP, 10.23.1.175,  11598,  FS-1128MFP,  "QRE9Z00525"
200800748, FS-3920DN, 10.32.1.160,  24700,  FS-3920DN,  "XSZ9Z01942"
200800767, FS-3920DN, 10.23.1.163,  84988,  FS-3920DN,  "XSZ9Z01913"
200800768, FS-3920DN, 10.23.1.165,  33702,  FS-3920DN,  "XSZ9X01620"
200800769, FS-3920DN, 10.23.1.164,  3171,  FS-3920DN,  "XSZ9X01635"
200800821, FS-3920DN, 10.12.3.153,  152525,  FS-3920DN,  "XSZ0102080"
200800845, FS-1128MFP, 10.28.16.155,  7157,  FS-1128MFP,  "QRE0301219"
200800864, FS-3920DN, 10.50.1.112,  49232,  FS-3920DN,  "XSZ0202312"
200800865, FS-3920DN, 10.17.11.160,  1967,  FS-3920DN,  "XSZ0102134"
200800869, FS-3920DN, 10.36.4.155,  244696,  FS-3920DN,  "XSZ0202317"
200800870, FS-3920DN, 10.27.1.151,  13637,  FS-3920DN,  "XSZ0102104"
200800881, FS-1128MFP, 10.6.17.151,  27366,  FS-1128MFP,  "QRE0301131"
200800882, FS-1128MFP, 10.34.99.151,  44554,  FS-1128MFP,  "QRE0200775"
200800962, FS-1128MFP, 10.16.10.156,  45988,  FS-1128MFP,  "QRE0401383"
200800963, FS-3920DN, 10.52.1.113,  160287,  FS-3920DN,  "XSZ0102048"
200800973, FS-1128MFP, 10.10.16.155,  44492,  FS-1128MFP,  "QRE0401385"
200800985, FS-3920DN, 10.50.1.113,  121363,  FS-3920DN,  "XSZ0402528"
200800986, FS-3920DN, 10.52.1.126,  52783,  FS-3920DN,  "XSZ0502695"
20100023, FS-3920DN, 10.10.2.156,  24411,  FS-3920DN,  "XSZ0502703"
20100024, FS-3920DN, 10.17.11.152,  38023,  FS-3920DN,  "XSZ0502716"
20100029, FS-3920DN, 10.2.7.154,  141120,  FS-3920DN,  "XSZ0502705"
20100030, FS-3920DN, 10.10.2.152,  125646,  FS-3920DN,  "XSZ0502747"
20100079, FS-3920DN, 10.12.3.156,  72349,  FS-3920DN,  "XSZ0502768"
20100081, FS-3920DN, 10.10.7.158,  10886,  FS-3920DN,  "XSZ0502772"
20100094, FS-1370DN, 10.2.7.165,  928,  FS-1370DN,  "Q670600627"
20100115, FS-3920DN, 10.50.1.114,  23153,  FS-4000DN,  "XSH7Y00834"
20100116, FS-3920DN, 10.50.1.102,  39455,  FS-3920DN,  "XSZ0703054"
20100117, FS-3920DN, 10.50.1.118,  243753,  FS-3920DN,  "XSZ0202310"
20100150, FS-3920, 10.10.7.161,  29851,  FS-3920DN,  "XSZ0703081"
20100151, FS-3920DN, 10.25.2.153,  2214,  FS-3920DN,  "XSZ0703069"
20100152, FS-1128MFPF, 10.34.4.199,  23236,  FS-1128MFP,  "QRE0701736"
20100153, FS-1128MFP, 10.12.3.172,  23224,  FS-1128MFP,  "QRE0701734"
20100204, FS-5350DN, 10.18.2.170,  31199,  FS-C5350DN,  "QVR0900169"
20100205, FS-3920DN, 10.32.1.151,  113609,  FS-3920DN,  "XSZ0703147"
20100232, FS-3920DN, 10.12.3.159,  31303,  FS-3920DN,  "XSZ0803336"
20100233, FS-3920DN, 10.50.1.101,  53108,  FS-3920DN,  "XSZ0803339"
20100235, FS-1128MFP, 10.18.2.163,  14210,  FS-1128MFP,  "QRE0801911"
20100272, FS-1128MFP, 10.18.2.177,  10443,  FS-1128MFP,  "QRE0801910"
20100303, FS-1128MFP, 10.34.4.160,  52542,  FS-1128MFP,  "QRE0Z02649"
20100304, FS-3920DN, 10.25.2.159,  4844,  FS-3920DN,  "XSZ0X03706"
20100307, FS-1128MFP, 10.34.4.155,  35915,  FS-1128MFP,  "QRE0902265"
20100308, FS-1128MFP, 10.5.4.165,  46313,  FS-1128MFP,  "QRE0902238"
20100321, FS-4020DN, 10.19.2.152,  392948,  FS-4020DN,  "XMT0Y00812"
20110042, FS-1128MFP, 10.34.4.160,  52542,  FS-1128MFP,  "QRE0Z02649"
20110043, FS-1128MFP, 10.34.4.159,  47046,  FS-1128MFP,  "QRE0Z02519"
20110045, FS-3920DN, 10.16.8.150,  6678,  FS-3920DN,  "XSZ0Y03859"
20110046, FS-3920DN, 10.5.4.156,  16926,  FS-3920DN,  "XSZ0Z04259"
20110047, FS-3920DN, USB, , , 
20110048, FS-3920DN, 10.10.9.164,  8973,  FS-3920DN,  "XSZ0Z04252"
20110049, FS-3920DN, 10.19.2.154,  50125,  FS-3920DN,  "XSZ0Z04247"
20110050, FS-3920DN, 10.34.4.169, , , 
20110053, FS-1128MFP, 10.34.2.152,  44498,  FS-3920DN,  "XSZ0Z04199"
20110054, FS-1128MFP, 10.16.10.160,  16292,  FS-3920DN,  "XSZ0Z04254"
20110072, FS-1128MFP, 10.32.1.155,  1766,  FS-1128MFP,  "QRE0Z02561"
20110081, FS-1128MFP, 10.36.4.164,  55491,  FS-1128MFP,  "QRE0Z02556"
20110082, FS-1128MFP, 10.34.4.165,  32038,  FS-1128MFP,  "QRE0Z02531"
20110083, FS-1128MFP, 10.2.7.164,  43150,  FS-1128MFP,  "QRE0801895"
20110084, FS-3920DN, 10.51.1.101,  220157,  FS-3920DN,  "XSZ0Z04102"
20110085, FS-C2126MFP, 10.25.7.157,  14408,  FS-C2126MFP,  "Q5F0900592"
20110091, FS-3920DN, 10.25.4.159,  60894,  FS-3920DN,  "XSZ0Z04111"
20110092, FS-3920DN, 10.16.100.151,  58588,  FS-3920DN,  "XSZ0Z04103"
20110093, FS-3920DN, 10.36.16.151,  54495,  FS-3920DN,  "XSZ0Z04110"
20110094, FS-3920DN, 10.18.2.150,  63274,  FS-3920DN,  "XSZ0Z04108"
20110095, FS-3920DN, 10.25.4.150,  54151,  FS-3920DN,  "XSZ0Z04099"
20110096, FS-3920DN, 10.18.2.166,  3737,  FS-3920DN,  "XSZ0Z04101"
20110097, FS-3920DN, 10.25.4.151,  35198,  FS-3920DN,  "XSZ0Z04107"
20110169, FS-3920DN, 10.16.10.151,  45401,  FS-3920DN,  "XSZ1204547"
20110171, FS-3920DN, 10.34.4.179,  1069,  FS-3920DN,  "XSZ1204546"
20110172, FS-3920DN, 10.34.4.178,  50313,  FS-3920DN,  "XSZ1204549"
20110173, FS-3920DN, 10.6.10.150,  91182,  FS-3920DN,  "XSZ1204551"
20110174, FS-3920DN, 10.7.6.151,  11255,  FS-3920DN,  "XSZ1204548"
20110179, FS-5350DN, 10.34.99.150,  1844,  FS-C5350DN,  "QVR0Z00303"
20110194, FS-1128MFPF, 10.16.10.154,  17919,  FS-1128MFP,  "QRE1202775"
20110220, FS-3920DN, 10.52.1.109,  19759,  FS-3920DN,  "XSZ0Y03929"
20110221, FS-3920DN, 10.36.6.150,  46977,  FS-3920DN,  "XSZ0Y03921"
20110222, FS-3920DN, 10.18.2.164,  58201,  FS-3920DN,  "XSZ0Y03930"
20110223, FS-3920DN, 10.23.1.179,  428,  FS-3920DN,  "XSZ0Y03917"
20110225, FS-3920DN, 10.18.2.161,  123255,  FS-3920DN,  "XSZ0Y03919"
20110226, FS-3920DN, 10.25.4.156,  44960,  FS-3920DN,  "XSZ0Y03925"
20110227, FS-3920DN, 10.36.4.154,  35492,  FS-3920DN,  "XSZ0Y03926"
20110255, FS-3920DN, 10.52.1.104,  15815,  FS-3920DN,  "XSZ1404733"
20110256, FS-1128MFPF, 10.50.1.120,  4079,  FS-1128MFP,  "QRE1302935"
20110294, FS-3920DN, 10.19.2.151,  183286,  FS-3920DN,  "XSZ1304712"
20110295, FS-3920DN, 10.10.3.165,  13527,  FS-3920DN,  "XSZ1204515"
20110296, FS-3920DN, 10.12.3.167,  25588,  FS-3920DN,  "XSZ1204521"
20110298, FS-3920DN, 10.23.1.153,  69192,  FS-3920DN,  "XSZ1304715"
20110299, FS-3920DN, 10.36.4.162,  31644,  FS-3920DN,  "XSZ1204523"
20110300, FS-3920DN, 10.25.4.152,  94745,  FS-3920DN,  "XSZ1204525"
20110303, FS-1128MFP, 10.35.18.152,  32838,  FS-1128MFP,  "QRE1403152"
20110315, FS-3920DN, 10.52.1.103,  21562,  FS-3920DN,  "XSZ1204520"
20110316, FS-1128MFP, 10.52.1.101,  39221,  FS-1128MFP,  "QRE1403137"
20110348, FS-5350DN, 10.16.8.172,  3025,  FS-C5350DN,  "QVR1300377"
20110350, FS-5350DN, 10.16.8.154,  16782,  FS-C5350DN,  "QVR1300387"
20110352, FS-3920DN, 10.36.4.163,  5389,  FS-3920DN,  "XSZ1604958"
20110353, FS-3920DN, 10.18.2.156,  4178,  FS-3920DN,  "XSZ1404749"
20110354, FS-3920DN, 10.10.3.168,  53929,  FS-3920DN,  "XSZ1605043"
20110355, FS-3920DN, 10.28.16.150,  25850,  FS-3920DN,  "XSZ1605041"
20110356, FS-3920DN, 10.10.3.185,  8287,  FS-3920DN,  "XSZ1605056"
20110357, FS-3920DN, 10.10.5.153,  51809,  FS-3920DN,  "XSZ1605047"
20110358, FS-3920DN, 10.5.4.151,  6722,  FS-3920DN,  "XSZ1605063"
20110359, FS-1128MFP, 10.25.4.163,  1346,  FS-1128MFP,  "QRE1403277"
20110360, FS-1128MFP, 10.34.9.150,  14504,  FS-1128MFP,  "QRE1503316"
20110361, FS-1128MFP, 10.38.2.150,  5247,  FS-1128MFP,  "QRE1403280"
20110371, FS-1370DN, 10.34.9.151,  3437,  FS-1370DN,  "Q671503823"
20110383, FS-3920DN, 10.51.1.102,  22594,  FS-3920DN,  "XSZ1605059"
20110404, ZM400#203#dpi, 10.13.3.165, , , 
20110412, FS-3920DN, 10.12.3.158,  65279,  FS-3920DN,  "XSZ1604914"
20110416, FS-3920DN, 10.34.2.165,  1463,  FS-3920DN,  "XSZ1604898"
20110417, FS-3920DN, 10.10.3.159,  11511,  FS-3920DN,  "XSZ1604920"
20110418, FS-3920DN, 10.2.7.152,  5970,  FS-3920DN,  "XSZ1604924"
20110419, FS-3920DN, 10.12.3.175,  9417,  FS-3920DN,  "XSZ1604836"
20110427, FS-1128MFP, 10.50.1.107,  7863,  FS-1128MFP,  "QRE1603611"
20110493, FS-3920DN, 10.28.16.154,  58869,  FS-3920DN,  "XSZ1605283"
20110494, FS-3920, 10.12.3.161,  17311,  FS-3920DN,  "XSZ1605123"
20110495, FS-3920, 10.12.3.160,  5181,  FS-3920DN,  "XSZ1604907"
20110497, FS-3920DN, 10.28.16.156,  2115,  FS-3920DN,  "XSZ1605128"
20110498, FS-3920DN, 10.23.1.151,  5191,  FS-3920DN,  "XSZ1604923"
20110499, FS-3920DN, 10.2.7.153,  46393,  FS-3920DN,  "XSZ1605103"
20110503, FS-3920DN, 10.50.1.103,  19734,  FS-3920DN,  "XSZ1605368"
20110505, FS-1128MFP, 10.10.5.160,  2246,  FS-1128MFP,  "QRE1803850"
20110506, FS-1128MFP, 10.5.4.154,  16185,  FS-1128MFP,  "QRE1803863"
20110507, FS-3920DN, 10.19.2.157,  8298,  FS-3920DN,  "XSZ1705513"
20110510, FS-3920DN, 10.19.15.150,  2885,  FS-3920DN,  "XSZ1705624"
20110511, FS-3920DN, 10.10.5.150,  16311,  FS-3920DN,  "XSZ1605296"
20110543, FS-3920DN, 10.13.3.151,  32401,  FS-3920DN,  "XSZ1905805"
20110544, FS-3920DN, 10.6.17.152,  17967,  FS-3920DN,  "XSZ1905815"
20110545, FS-3920DN, 10.2.7.151,  4279,  FS-3920DN,  "XSZ1905806"
20110546, FS-3920, 10.5.4.153,  59806,  FS-3920DN,  "XSZ1905802"
20110547, FS-3920, 10.10.5.151,  16909,  FS-3920DN,  "XSZ1905803"
20110549, FS-3920DN, 10.34.17.150,  1714,  FS-3920DN,  "XSZ1905809"
20110552, FS-3920DN, 10.52.1.102,  69430,  FS-3920DN,  "XSZ1905819"
20120027, FS-3920, 10.35.1.175,  644,  FS-3920DN,  "XSZ1705680"
20120029, FS-3920, 10.36.4.150,  16778,  FS-3920DN,  "XSZ1905816"
20120030, FS-3920, 10.18.2.153, , , 
20120031, FS-3920, 10.23.1.152,  17361,  FS-3920DN,  "XSZ1905817"
20120032, FS-3920DN, 10.10.9.161,  1880,  FS-3920DN,  "XSZ1905810"
20120033, FS-3920DN, 10.50.1.115,  57844,  FS-3920DN,  "XSZ1905813"
20120048, FS-C2126MFP, 10.34.99.160,  3875,  FS-C2126MFP+,  "NN81Y00482"
20120065, FS-1135MFP, 10.28.16.151,  11109,  FS-1135MFP,  "NR51X00007"
20120066, FS-1135MFP, 10.2.7.155,  8143,  FS-1135MFP,  "NR51X00169"
20120067, FS-3920DN, 10.16.10.161,  9423,  FS-3920DN,  "XSZ1905858"
20120068, FS-3920, 10.32.30.160,  2642,  FS-3920DN,  "XSZ1905866"
20120069, FS-3920DN, 10.10.7.162,  6176,  FS-3920DN,  "XSZ1905860"
20120070, FS-3920DN, 10.10.3.162,  25477,  FS-3920DN,  "XSZ1905863"
20120071, FS-3920, 10.19.15.151,  10287,  FS-3920DN,  "XSZ1905864"
20120072, FS-4000DN, 10.12.3.155,  695,  FS-3920DN,  "XSZ1905862"
20120088, FS-3920DN, 10.10.3.160,  1368,  FS-3920DN,  "XSZ2607165"
20120140, FS-3920DN, 10.19.2.155,  31972,  FS-3920DN,  "XSZ1605030"
20120141, FS-3920DN, 10.17.11.161, , , 
20120142, FS-3920DN, 10.10.3.174,  15311,  FS-3920DN,  "XSZ1605028"
20120143, FS-3920DN, 10.34.4.168,  9155,  FS-3920DN,  "XSZ1605024"
20120144, FS-3920DN, 10.10.9.152,  12411,  FS-3920DN,  "XSZ1605023"
20120145, FS-3920DN, 10.10.7.157,  5829,  FS-3920DN,  "XSZ1605035"
20120155, FS-1128MFPF, 10.32.100.170,  7935,  FS-1135MFP,  "NR52100225"
20120158, FS-3920DN, 10.10.9.157,  2942,  FS-3920DN,  "XSZ2306539"
20120159, FS-3900DN, 10.10.7.151,  5309,  FS-3920DN,  "XSZ1605384"
20120160, FS-3920DN, 10.34.2.154,  5062,  FS-3920DN,  "XSZ1605379"
20120161, FS-3920, 10.18.2.168,  9096,  FS-3920DN,  "XSZ2306536"
20120162, FS-3920, 10.36.16.152,  4007,  FS-3920DN,  "XSZ2306541"
20120163, FS-3920DN, 10.10.15.154,  8272,  FS-3920DN,  "XSZ2306535"
20120218, FS-3920DN, 10.13.3.152,  19999,  FS-3920DN,  "XSZ2406656"
20120219, FS-3920DN, 10.34.4.157,  19255,  FS-3920DN,  "XSZ2406660"
20120224, FS-C5030DN, 10.36.4.161,  4974,  FS-C5350DN,  "QVR2401138"
20120226, FS-1135MFP, 10.10.9.155,  3046,  FS-1135MFP,  "NR52300475"
20120227, FS-1128MFPF, 10.34.17.151,  281,  FS-1135MFP,  "NR52300504"
20120228, FS-1135MFP, 10.18.2.165, , , 
20120297, FS-C5300DN, 10.17.100.150,  1405,  FS-C5350DN,  "QVR2601260"
20120299, FS1128MFP, 10.2.7.161,  7096,  FS-1135MFP,  "NR52500741"
20120306, FSC-5350DN, 10.16.8.151,  1646,  FS-C5350DN,  "QVR2701324"
20120323, FS-1135MFP, 10.18.2.169,  8322,  FS-1135MFP,  "NR52300509"
20120324, FS-1135MFP, 10.32.9.150,  375,  FS-1135MFP,  "NR52600931"
20120326, FS-1135MFP, 10.12.3.170,  2026,  FS-1135MFP,  "NR52600911"
20120365, FS-3900DN, 10.10.9.156,  434,  FS-3920DN,  "XSZ2607887"
20120366, FS-3920DN, 10.10.16.151,  6995,  FS-3920DN,  "XSZ2608010"
20120367, FS-3920DN, 10.10.7.164,  2170,  FS-3920DN,  "XSZ2607891"
20120368, FS-3920DN, 10.10.7.150,  4294,  FS-3920DN,  "XSZ2607609"
20120370, FS-3920DN, 10.19.2.153,  1188,  FS-3920DN,  "XSZ2608016"
20120371, FS-3920DN, 10.10.3.149,  430,  FS-3920DN,  "XSZ2608001"
20120372, FS-3920DN, 10.28.16.153,  955,  FS-3920DN,  "XSZ2607889"
20120384, FS-3920DN, USB#Printer, , , 
20120385, FS-3920DN, 10.2.7.157,  2222,  FS-3920DN,  "XSZ2607890"
20120410, FS-3920DN, 10.10.7.152,  199,  FS-3920DN,  "XSZ2608020"
20120496, FS-3920DN, 10.34.4.167,  10513,  FS-3920DN,  "XSZ1605131"
